title,image,ingredients,instructions
Filipino Beef Morcon with Garlic Fried Rice and Eggs,https://panlasangpinoy.com/wp-content/uploads/2016/12/How-to-Cook-Morcon-Silog_-1.jpg,"['▢ 1 lb. leftover classic beef morcon view recipe', '▢ 3 cups garlic fried rice view recipe', '▢ 6 fried eggs cooked the way you want (see ways on how to cook eggs)']","['Prepare your meal by slicing the leftover morcon. Note: you may also cook the morcon from scratch using the recipe above if there are no leftovers.', 'Prepare the garlic fried rice. The link for the recipe can be found in the ingredient section above. Once the rice is cooked, set it aside.', 'Fry the eggs based on how you want it. Sunny-side-up is a good way to cook it.', 'Arrange a cup of garlic fried rice in the middle of a plate. Add 2 pieces of fried eggs on the side and arrange the beef morcon on the other side.', 'Serve hot for breakfast. Share and enjoy!']"
Champorado with Tuyo – Chocolate Porridge with Salted Dried Fish,https://panlasangpinoy.com/wp-content/uploads/2016/12/Champorado-with-Tuyo-Recipe-Panlasang-Pinoy-1.jpg,"['▢ 1 cup glutinous rice', '▢ 4 to 5 cups water', '▢ ½ cup sugar', '▢ 4 pieces pure cocoa tablea', '▢ A pinch of salt', '▢ 6 to 12 pieces fried salted dried fish tuyo']","['Pour 4 cups water in a pot. Let boil.', 'Add the sugar and tablea. Stir and continue to boil until the cocoa tablea dilutes.', 'Add a pinch of salt and gently pour the glutinous rice in the pot. Stir and let the liquid re-boil.', 'Continue to cook in low heat until the rice gets soft (the consistency should be similar to a porridge). Make sure to stir the mixture every 2 to 3 minutes to prevent the rice from sticking on the pot. Add the extra cup cup of water (or more) if needed.', 'Scoop some cooked champorado using a ladle and pour in a bowl. Serve with crispy fried tuyo fish and evaporated milk.', 'Share and enjoy!']"
Corned Beef Silog,https://panlasangpinoy.com/wp-content/uploads/2016/09/Breakfast-Corned-Beef-Silog_.jpg,"['▢ 1 12 oz. can corned beef', '▢ 1 medium yellow onion', '▢ 3 cloves garlic crushed', '▢ 3 cups sinangag', '▢ 3 eggs', '▢ 4 tablespoons cooking oil', '▢ ½ cup beef broth', '▢ Salt and pepper to taste']","['Heat oil on a pan. Once the oil gets hot, crack an egg and fry sunny-side-up. Remove the fried egg and place in a plate. Do this step until all 3 eggs are cooked.', 'Using the remaining oil, sauté the garlic until it turns medium brown. Add the onion and sauté until it softens.', 'Add the corned beef. Sauté for 2 minutes', 'Pour the beef broth in the pan. Continue to cook for 2 to 3 minutes or until the liquid evaporate. Add salt and pepper to taste.', 'Arrange a cup of sinangag (garlic fried rice) and a piece of egg on a plate. Put 1/3 of the cooked corned beef. Do this step on all 3 plates. Serve.', 'Share and enjoy!']"
Danggit Silog,https://panlasangpinoy.com/wp-content/uploads/2016/09/Danggit-Sinangag-at-Itlog.jpg,"['▢ 12 pieces dried danggit', '▢ ½ cup cooking oil', '▢ 3 cups garlic fried rice', '▢ 3 pieces eggs']","['Heat a medium sized frying pan and then pour the oil in.', 'Once the oil starts to get hot, crack one egg open and then gently drop it on the pan to fry in medium heat. Tilt the pan on one side until most of the oil settles and then slowly push the oil towards the egg to coat the top part. Do this multiple times until the yellow part of the egg gets cooked. You will know when you are done if it turns out yellowish-white just like in the picture above. Do this step on the remaining eggs. Once done, set the fried eggs aside.', 'Fry the danggit using the remaining oil. Make sure that the oil is hot before starting. Fry one side in medium heat until crispy and then turn the fish over to cook the other side. Transfer to a plate lined with paper towel. Note: frying danggit should be quick.', 'Arrange a cup of garlic fried rice, a piece of fried egg, and 4 pieces of danggit in a plate. This makes an individual serving. Serve with spicy vinegar.', 'Share and enjoy!']"
"Scrambled Eggs with Tomato, Onion, and Spinach",https://panlasangpinoy.com/wp-content/uploads/2016/05/Breakfast-Scrambled-Eggs-with-Tomato-Onion-and-Spinach.jpg,"['▢ 4 eggs', '▢ 1 medium plum tomato cubed', '▢ 1 medium yellow onion sliced', '▢ 1 cup baby spinach', '▢ a pinch of salt', '▢ a pinch of ground black pepper', '▢ 2 tablespoons cooking oil', '▢ 2 tablespoons butter']","['Crack the eggs in a bowl. Add salt and pepper. Beat until smooth. Set aside.', 'Heat the cooking oil and butter in a pan. Make sure that the entire area of the pan is coated with oil and butter.', 'Add the tomato and onion. Cook for 2 to 3 minutes in medium heat or until the onion gets soft.', 'Add the spinach and then stir fry for 30 seconds.', 'Pour-in the beaten egg. Cook one side until it starts to set. Gently scrape the the eggs from one end of the pan going towards the center using either a spatula or wooden spoon. Repeat the process until soft curds form.', 'Transfer to a serving plate. Serve with toast.', 'Share and enjoy!']"
"Fried Daing na Bangus with Garlic Fried Rice, Fried Egg, and Pickled Papaya (Daing Silog)",https://panlasangpinoy.com/wp-content/uploads/2016/05/Daing-Silog-Recipe.jpg,"['▢ 3 medium daing na bangus fried', '▢ 3 eggs', '▢ 5 cups garlic fried rice', '▢ 3/4 cups papaya atchara optional', '▢ 3 1/2 tablespoons cooking oil', '▢ 2 tablespoons chopped scallions']","['Prepare daing na bangus according to the instructions on the recipe link above. Set aside.', 'Prepare sinangag (garlic fried rice). See link above for the recipe. Set Aside', 'Heat oil in a pan. Once the oil gets hot, fry the eggs. You can make it sunny side-up, over easy, or basted. Get more details here', 'Arrange the fried daing na bangus, sinangag, and fried egg on individual plates. Serve with papaya atchara and spicy vinegar. Sprinkle some chopped scallions on top.', 'Share and enjoy']"
Grilled Filipino Sweet Sausage,https://panlasangpinoy.com/wp-content/uploads/2016/05/Grilled-Filipino-Sweet-Sausage.jpg,"['▢ 2 lbs. Pampanga longganisa Filipino sweet sausage', '▢ 3 cups water', '▢ 1 cup spicy vinegar']","['Pour water in a medium cooking pot. Let boil.', 'Add the longganisa (Filipino sweet sausages). Cover and boil for 20 minutes or until the water evaporates.', 'Heat-up the grill. Grill the sausages for 15 minutes while turning it every 3 minutes until all the sides are cooked completely.', 'Remove from the grill. Serve for breakfast with fried eggs and spicy vinegar.', 'Share and enjoy!']"
Ground Beef Omelet,https://panlasangpinoy.com/wp-content/uploads/2016/03/Giniling-na-baka-omelet-750x750.jpg,"['▢ 4 eggs', '▢ 1/2 lb. ground beef', '▢ 1  yellow onion chopped', '▢ 1  green bell pepper chopped', '▢ 2 tablespoons Worcestershire sauce', '▢ 6 tablespoons cooking oil', '▢ salt and pepper to taste']","['Prepare the ground beef filing by heating 3 tablespoons of cooking oil in a pan.6 tablespoons cooking oil', 'Add the onion. Cook until soft.1  yellow onion', 'Add the chopped bell pepper and ground beef. Brown the beef (cook around 3 to 5 minutes).1  green bell pepper, 1/2 lb. ground beef', 'Sprinkle some salt and pepper (adjust the amount to your preference) and pour-in the Worcestershire sauce. Stir and cook for 4 to 5 minutes. Remove from the pan and set aside.salt and pepper to taste, 2 tablespoons Worcestershire sauce', 'Start to make the omelet by cracking the eggs in a bowl. Sprinkle a bit of salt. Whisk the eggs until the texture is smooth.4 eggs', 'Heat the remaining oil in a pan.', 'Once the oil starts to heat-up, slowly pour 1/3 of the beaten egg on the pan. Let it cook in low to medium heat until the egg starts to form.4 eggs', 'Turn the egg over using a spatula. Scoop 1/3 of the cooked ground beef over one side of the egg. When the other side of the egg forms and starts to solidify, fold the other half to cover the side with ground meat.', 'Remove the omelet from the pan and transfer to a serving plate. Perform the same steps until all the ingredients are consumed.', 'Serve with rice or bread. Share and enjoy!']"
Beef Teriyaki Tapa with Fried Rice and Egg,https://panlasangpinoy.com/wp-content/uploads/2016/02/beef-teriyaki-tapa-with-fried-rice-and-egg-recipe.jpg,"['▢ 1 lb. thinly sliced beef steak', '▢ 1 serving teriyaki sauce', '▢ 2 cups garlic fried rice', '▢ 2 eggs', '▢ 3 tablespoons cooking oil']","['Arrange the sliced beef in a medium bowl. Pour the teriyaki sauce in the bowl and then mix. Cover and refrigerate for at least 1 hour.', 'Heat the cooking oil in a pan. Once the oil gets hot, put the beef in the pan including the marinade. Stir fry for 5 to 10 minutes or until the sauce completely evaporates.', 'Cook the egg depending on your preference. See this post about ways on how to cook eggs.', 'Arrange a cup of garlic fried rice in a plate along with the egg. Put half of the beef teriyaki tapa on the plate and then serve.', 'Share and enjoy!']"
Daing na Bangus Recipe,https://panlasangpinoy.com/wp-content/uploads/2016/02/daing-na-bangus-recipe-2.jpg,"['▢ 1 medium sized milkfish cleaned and scales removed', '▢ 10 tablespoons white or cane vinegar', '▢ 1 teaspoon crushed peppercorn', '▢ 1 head garlic crushed', '▢ 1/4 teaspoon cayenne pepper powder optional', '▢ 1/2 teaspoon coarse sea salt', '▢ 1/2 cup cooking oil']","['Combine vinegar, pepper, salt, garlic, and cayenne pepper powder in a bowl. Stir to mix the ingredients. Set aside.', 'Butterfly the bangus (slice from the top) and the place it inside a large re-sealable plastic bag.', 'Pour the vinegar mixture in the bag and then let all the air out. Seal the bag and refrigerate overnight.', 'Remove the fish from the bag and let the liquid drip.', 'Heat the cooking oil in a pan. Once the oil gets hot, fry the fish in medium heat until one side gets crisp. Turn it over and repeat the process on the other side.', 'Remove from the pan and place in a serving plate. Serve with bowl of spicy vinegar.', 'Share and enjoy!']"
Loaded Breakfast Potato,https://panlasangpinoy.com/wp-content/uploads/2015/11/Loaded-Breakfast-Potato-2-640x750.jpg,"['▢ 4 baking potatoes', '▢ 3 tablespoons butter', '▢ 1 medium sweet onion chopped', '▢ 1 small red bell pepper cubed', '▢ 1 cup chopped white mushrooms', '▢ 1 cup sour cream', '▢ 1 cup shredded sharp cheddar cheese', '▢ 4 eggs beaten', '▢ 1/4 cup sliced green onions', '▢ 6 bacon strips crumbled', '▢ Salt and pepper to taste.']","['Wash the potato in running water and make sure to scrub the surface thoroughly. Punch some holes around the potato using a fork. Place it in a plate and then microwave for 15 minutes.', 'Let the potato cool down. Slice a portion of the top part then scape the potato from the sliced portion. Make the potato as hollow as possible. Set aside.', 'Melt butter in a pan.', 'Saute the onion, mushrooms, and bell pepper until the onion and mushroom becomes soft. Add a pinch of salt and ground black pepper.', 'Push the sautéed vegetables on the side and then pour-in the beaten egg. Continue to cook the while gently stirring similar to the way you cook scrambled eggs. When the eggs gets half cooked, blend with the vegetables. Make sure that the eggs and veggies are well blended.', 'Add the shredded cheese and stir-in 1/4 cup of sour cream. Turn the heat off and then continue to stir the sour cream and cheese o mix with the rest of the ingredients.', 'Preheat oven to 350F. Fill the cavity of the potato with the cooked egg mixture and add more mixture on top. Bake for 11 to 14 minutes.', 'Remove from the oven and let cool. Top with crumbled bacon,remaining sour cream, and green onion.', 'Transfer to a serving plate.Serve.', 'Share and enjoy!']"
Breakfast Sausage Hash,https://panlasangpinoy.com/wp-content/uploads/2015/10/Breakfast-Sausage-Hash-Recipe.jpg,"['▢ 1 package 1 lb. frozen shredded potatoes, thawed', '▢ 6 pieces sausage links', '▢ 3 tablespoons butter', '▢ 1 tablespoon canola oil', '▢ 10 oz. salsa con queso use your favorite brand', '▢ 1 cup shredded cheddar cheese', '▢ 1 tablespoon hot sauce Cayenne pepper sauce', '▢ 3 tablespoons chopped green onions', '▢ 1 1/2 cups beef broth', '▢ 1/2 teaspoon salt', '▢ 1/2 teaspoon onion powder']","['Heat a pan, pour-in the beef broth, bring to a boil. Add the sausage links and butter. Parboil the sausage links until the beef broth evaporates.', 'Once the broth completely evaporates, continue to fry the sausage links using the remaining butter in low to medium heat for 5 minutes.', 'Remove the sausage links from the pan, let it cool down. Slice into thin pieces.', 'Combine the remaining butter and add the canola oil, apply heat. Once the mixture heats-up, put the sliced sausages in. Cook for 1 minute.', 'Add the shredded potatoes. Stir and cook for 5 to 7 minutes.', 'Transfer the cooked potato and sausage in a mixing bowl. Add the salsa con queso, shredded cheese, hot sauce, salt, and onion powder. Fold until the ingredients are well blended.', 'Preheat oven to 400F. Arrange the mixture in a baking plate. Top with chopped green onions Bake for 35 minutes.', 'Remove from the oven. Serve for breakfast.', 'Share and enjoy!']"
Hashbrown Casserole,https://panlasangpinoy.com/wp-content/uploads/2015/10/Hash-Brown-Casserole-Recipe.jpg,"['▢ 1 lb. package shredded hashbrown potato', '▢ 5 oz. half a can cream of chicken', '▢ 1 cup shredded sharp cheddar cheese', '▢ 1/4 cup melted butter', '▢ 1 tablespoon cooking oil', '▢ 1 1/2 cup sour cream', '▢ 1 medium yellow onion chopped', '▢ 1/2 teaspoon salt', '▢ A dash of ground black pepper']","['Preheat oven to 350F.', 'Heat the cooking oil in a pan. Once the oil gets hot, add the onion. Continue to cook the onion in medium heat while stirring until caramelized.', 'Meanwhile, combine shredded hash brown, cream of chicken, butter, cheese, salt, and pepper.', '', 'Add sour cream and caramelized onion.', 'Mix well then arrange in a baking pan.', 'Bake for 35 minutes.', 'Remove from the oven and it cool down. Serve. Share and enjoy!']"
Huevos Rancheros,https://panlasangpinoy.com/wp-content/uploads/2015/10/Huevos-Rancheros-Recipe-2.jpg,"['▢ 1 can 14.5 oz. fire roasted tomato', '▢ 1/4 cup Chipotle Pepper in Adobo Sauce chopped', '▢ 1/4 cup Cilantro', '▢ 6 small flour tortillas', '▢ 1 medium Spanish onion diced', '▢ 3 eggs', '▢ 1 banana pepper chopped', '▢ Salt and pepper to taste', '▢ 3 tablespoons cooking oil']","['Prepare the salsa by heating 2 tablespoons of cooking oil in a pan. Saute the onion until it becomes soft. Add the diced tomatoes, add the chipotle pepper, and banana pepper. Cook for 3 to 5 minutes. Add salt and pepper to taste.', 'Cook the eggs. I prefer either sunny side up or ever easy. Set Aside.', 'Heat a clean frying pan. Once the pan starts to heat-up, lay a corn tortilla flat over the pan and continue to heat up (using medium heat) for 2 minutes per side.', 'Arrange the warm tortillas on a serving plate. Top with fried egg and salsa. Garnish with cilantro.', 'Serve. Share and enjoy!']"
Pork Adobo Paksiw with Jeprox and Shrimp Fried Rice,https://panlasangpinoy.com/wp-content/uploads/2015/05/Yummy-Pork-Paksiw-with-Jeprox-and-Fried-Rice-Breakfast-Meal2.jpg,"['▢ 1 serving of Pork Adobo Paksiw', '▢ 1 serving of crisy fried jeprox', '▢ 3 to 4 cups of shrimp fried rice', '▢ 1/2 cup spicy vinegar', '▢ 4 pieces hard boiled eggs']","['Prepare the Pork Adobo Paksiw, crisp fried jeprox, and shrimp fried rice. See the recipe for each dish in the link provided above.', 'In a single serve plate, arrange 1 cup of shrimp fried rice along with some yummy pork adobo paksiw and crispy fried jeprox.', 'Serve with a piece of hard boiled egg.', 'Share and enjoy!']"
Meatball Adobo with Shrimp Fried Rice and Egg,https://panlasangpinoy.com/wp-content/uploads/2015/05/Adobong-Meatball-With-Fried-Rice-and-Egg_-520x750.jpg,"['▢ 1 serving of Meatball adobo see recipe here', '▢ 1 1/2 serving of Shrimp Fried Rice click for the recipe', '▢ 4 to 6 pieces fried eggs you can also cook eggs through these 10 different ways']","['Prepare the adobo meatball and shrimp fried rice according to the recipe provided in the links above.', 'In 4 to 6 individual plates, arrange a portion of the fried rice and adobo meatballs. Top with fried egg. your fried egg does not need to be perfect, unless you really insist.', 'Serve for either breakfast, lunch or dinner. This can also be a good ""baon"" for school or for the office.', 'Share and enjoy!']"
Crispy Spam Steak Recipe,https://panlasangpinoy.com/wp-content/uploads/2015/05/Crispy-Spam-Steak.jpg,"['▢ 1 12 oz. can Spam light', '▢ 2 pieces eggs', '▢ ½ cup cornstarch', '▢ 2 tablespoons all-purpose flour', '▢ ¼ teaspoon garlic powder', '▢ 1/2 cup cooking oil']","['Remove the Spam luncheon meat from the can and slice into serving pieces.', 'Meanwhile, heat the cooking oil in a deep frying pan.', 'Combine the garlic powder and egg. Beat until both ingredients are well incorporated. Set aside.', 'Combine flour and cornstarch. Mix well and set aside.', 'Dip each sliced Spam in the beaten egg then dredge in flour. Do this step twice to make the coat thicker.', 'Fry the Spam coated with flour and cornstarch 3 to 4 slices at a time. The number of slices to cook at a given time will depend on the size of your pan: the wider the pan, the more slices you can cook at the same time. Cook one side in medium heat until the color turns medium brown and the texture becomes crispy. Turn the Spam slice over to cook the other side.', 'Remove the Crispy fried Spam steaks from then pan. Place in a plate lined with paper towel.', 'Serve with ketchup. Share and enjoy!']"
Pork Tapa with Fried Banana and Salted Egg,https://panlasangpinoy.com/wp-content/uploads/2015/04/Pork-Tapa-with-Fried-Banana-Recipe1.jpg,"['▢ 2 lbs. pork shoulder sliced', '▢ 4 pieces saba banana sliced in half lengthwise', '▢ 4 pieces salted eggs', '▢ 3/4 cup white vinegar', '▢ 1/2 teaspoon salt', '▢ 1 teaspoon granulated white sugar', '▢ 1/4 teaspoon ground black pepper', '▢ 4 cloves garlic crushed and minced', '▢ 1/4 cup corn starch', '▢ 1/2 cup cooking oil', '▢ 4 cups cooked white rice']","['Combine vinegar, sugar, salt, and pepper in a large bowl. Stir the mixture to blend completely.', 'Put-in the sliced pork. Make sure that the pork slices gets coated with the vinegar mixture. Marinate for at least 3 hours (the longer the you marinate, the tastier it gets).', 'Remove the pork slices from the marinade. Arrange in a wide plate and let it stay in open air for 1 to 2 hours. You can also soak this under the sun for the same time if desired, but make sure to cover the meat to avoid contamination. I use either cling wrap or a strainer to cover the plate.', 'Heat half of the cooking oil in a pan.', 'Meanwhile, roll the sliced bananas in cornstarch. Make sure that the bananas are coated all over. The cornstarch will give a nice crisp texture to the outer part of the banana when fried.', 'Once the oil gets hot, fry the bananas in medium heat for 1 to 2 minutes per side. Remove the fried banana from the pan and place in a plate lined with paper towels.', 'Add more oil if needed then continue by frying the pork slices until it turns medium brown.', 'Remove the fried pork slices from the pan. Arrange a single serving portion in a plate along with a cup of white rice and salted egg. Put-in the fried banana.', 'Serve with a spicy vinegar dip.', 'Share and enjoy!']"
Scrambled Eggs with Sun Dried Tomato and Bacon,https://panlasangpinoy.com/wp-content/uploads/2015/04/Scrambled-Eggs-with-Sun-Dried-Tomato-and-Bacon-520x750.jpg,"['▢ 5 eggs beaten', '▢ 1/2 cup whole milk', '▢ 4 bacon strips chopped', '▢ 1 small green bell pepper sliced into small cubes', '▢ 1 small yellow onion chopped', '▢ 1/4 cup sliced sun-dried tomato', '▢ 3 tablespoons salted butter', '▢ Salt and pepper optional']","['Combine the milk and beaten eggs in a bowl. Beat using a wire whisk or fork. Set aside (you can add some salt and pepper if desired).', 'Turn on the heat to medium then start to heat the frying pan (non-stick pans are best).', 'Put the butter on the pan and let it melt.', 'One the butter melts and gets hot, add the sliced onion and bacon. Saute until it becomes soft.', 'Put-in the green bell pepper and sun-dried tomato. Cook for 1 minute.', 'Slowly pour-in the beaten egg and milk mixture. As the eggs starts to form, pull the entire mixture across the frying pan. Do this step until small lumps are formed. Do not overcook the eggs.', 'Transfer to a serving plate.', 'Serve. Share and enjoy!']"
Tosilog Recipe,https://panlasangpinoy.com/wp-content/uploads/2014/10/Tocilog-2.jpg,"['▢ 1 lb. uncooked tocino', '▢ 3 cups sinangag', '▢ 3 sunny-side up eggs', '▢ 2 cups water', '▢ 1/4 cup cooking oil']","['Boil the water in a cooking pot.', 'Once the water starts to boil, pour-in the cooking oil and add the uncooked tocino. Boil in medium heat until the water evaporates.', 'Once the water completely evaporate, the oil will be left behind. Let one side of the tocino cook in oil for 3 minutes. Flip the tocino and cook the other side for the same time.', 'Arrange the cooked tocino with the eggs in individual plates.', 'Meanwhile, remove the excess oil in the cooking pot where the tocino was cooked. Heat the same pot and put-in the sinangag. Cook the fried rice for 1 minute while tossing. The residue from the tocino will stick to the fried rice making it more tasty.', 'Arrange the fried rice with the tocino in individual plates.', 'Serve with spiced vinegar.', 'Share and enjoy!']"
How to Cook Bacon,https://panlasangpinoy.com/wp-content/uploads/2014/10/cook-bacon.jpg,N/A,N/A
Sausage and Egg Casserole with Hash Browns Recipe,https://panlasangpinoy.com/wp-content/uploads/2014/07/Sausage-and-Egg-Casserole-with-Hash-Brown.jpg,"['▢ 5 eggs', '▢ 1 cup milk', '▢ 1/2 pound bulk pork sausage', '▢ 1 1/2 cups hash browns', '▢ 1 cup shredded Monterrey jack cheese', '▢ 1/4 teaspoon salt', '▢ 1/8 teaspoon ground black pepper']","['Cook the sausage in a pan until it turns light to medium brown. Drain the liquid and oil. Set aside.', 'Beat the eggs in a mixing bowl.', 'Stir-in the milk, cheese, salt, and pepper. Mix well.', 'Add the cooked sausage and hash browns. Stir to distribute the ingredients evenly.', 'Pour the mixture in a baking dish.', 'Preheat the oven to 350F', 'Bake for 40 to 45 minutes.', 'Serve. Share and enjoy!']"
Ham and Cheese Quiche Recipe,https://panlasangpinoy.com/wp-content/uploads/2014/07/Ham-and-Cheese-Quiche-500x750.jpg,"['▢ 1 Pastry dough see recipe for homemade pastry dough', '▢ 1/2 lb. ham cubed', '▢ 1 cup fresh milk', '▢ 5 eggs beaten', '▢ 1 cup shredded sharp cheddar cheese', '▢ 1/2 teaspoon salt', '▢ 1/4 teaspoon ground black pepper']","['Preheat the oven to 350F.', 'Arrange the pastry dough on a round baking dish.Blind bake for 12 to 15 minutes.', 'Meanwhile, combine the beaten egg, salt, pepper, milk, and cheese. Mix well.', 'Add the cubed ham to the egg mixture and stir.', 'Remove the baking dish from the oven. Pour the entire mixture in the baking dish.', 'Place it back in the oven. Bake for 35 to 40 minutes at 350F.', 'Remove from the oven.', 'Serve. Share and enjoy!']"
Breakfast Daing na Bisugo with Sinangag,https://panlasangpinoy.com/wp-content/uploads/2014/06/Breakfast-Daing-Bisugo-with-Sinangag1-500x750.jpg,"['▢ 3 pieces salted dried bisugo Threadfin bream', '▢ 2 tablespoons cooking oil', '▢ 1 1/2 cup sinangag', '▢ 1/2 cup sinamak or pinakurat spiced vinegar']","['Heat the cooking oil in a frying pan.', 'Once the oil is hot, fry all 3 pieces of daing (salted dried fish) at the same time for 1 minute per side. Make sure to quickly turn the fish over to avoid the first side from being burnt.', 'Once both sides are fried, remove the fish from the pan. Place it in a plate lined with paper towel to absorb the oil.', 'Transfer the fried daing na bisugo in a plate with sinangag.', 'Serve with spiced vinegar.', 'Share and enjoy!']"
Bacon and Cheese Breakfast Casserole Recipe,https://panlasangpinoy.com/wp-content/uploads/2014/07/Bacon-and-Cheese-Breakfast-Casserole.jpg,"['▢ 6 bacon strips', '▢ 6 eggs beaten', '▢ 1 1/4 cup fresh milk', '▢ 3/4 cup chopped green onions', '▢ 1 cup shredded Monterey jack cheese', '▢ 1/2 teaspoon salt', '▢ 1/2 teaspoon ground black pepper']","['Arrange the bacon in a pan. Cook until crisp. Set Aside.', 'In a mixing bowl, combine eggs, milk, salt, pepper, and cheese. Mix well.', 'Crumble the bacon strips and add to the egg mixture along with the green onions. Stir.', 'Preheat oven to 350 Fahrenheit.', 'Pour the mixture into a baking dish. Cover the dish with a greased aluminum foil (greased side down).', 'Bake for 40 minutes or until the eggs are done.', 'Remove from the oven. Serve.', 'Share and enjoy!']"
Tuyo Fish with Rice and Tomato,https://panlasangpinoy.com/wp-content/uploads/2014/07/tuyo-1.jpg,"['▢ 10 pieces tuyo salted dried fish', '▢ 3 cups cooked white rice', '▢ 3 plum tomatoes wedged', '▢ Cooking oil spray', '▢ 1/2 cup spiced vinegar sinamak']","['Preheat oven to 400F.', 'Arrange the tuyo fish in an aluminum foil sheet. Spray both sides of the fish with cooking oil. Secure the fish inside the sheet by covering with another aluminum sheet and secure the sides.', 'Open your vent (this is important). Bake for 6 to 10 minutes.', 'Remove the fish from the sealed sheet and arrange in individual plates with a cup of white rice and wedged tomato.', 'Serve with spiced vinegar.', 'Share and enjoy!']"
Special Goto Recipe,https://panlasangpinoy.com/wp-content/uploads/2014/06/Special-Goto.jpg,"['▢ 1 cup uncooked rice', '▢ 1 lb. ox tripe cleaned', '▢ 1 lb. pig large intestine cleaned', '▢ 4 eggs boiled and shelled', '▢ 5 cups water for cooking', '▢ 6 cups water for boiling', '▢ 2 teaspoons beef powder or 1 beef cube', '▢ 1 teaspoon turmeric powder optional', '▢ 2 tablespoons minced ginger', '▢ 1 medium onion minced', '▢ 5 cloves garlic minced', '▢ 2 teaspoons garlic powder', '▢ 3 tablespoons cooking oil', '▢ 1 head toasted garlic', '▢ 1/4 cup chopped green onion', '▢ 1/2 cup crushed chicharon', '▢ Salt and pepper to taste']","['Boil 6 cups of water in a deep cooking pot.', 'Add the ox tripe, pig intestine, and 1 teaspoon salt. Boil for 2 to 3 hours or until soft. Add water as needed. Remove the tripe and intestine from the pot to cool down and then slice into bite sized pieces. Set aside.', 'Heat the cooking oil in a deep cooking pot.', 'Saute the onion, ginger, and garlic.', 'Once the onion is soft, add the tripe and intestine. Cook for 2 to 3 minutes.', 'Add the beef powder( or cube), turmeric powder, and garlic powder.', 'Pour-in the water. Stir and let boil.', 'Add the rice. Allow the water to boil once more and then adjust the heat between low to medium. Cook for 30 to 45 minutes or until the desired texture is achieved. Add water if needed and stir every 5 minutes or so to prevent the rice from sticking on the pan.', 'Add salt and pepper to taste.', 'Transfer to a serving bowl. Add egg and top with green onions, toasted garlic, and crushed chicharon.', 'Serve. Share and enjoy!']"
Breakfast Reuben Sandwich,https://panlasangpinoy.com/wp-content/uploads/2014/02/Breakfast-Reuben-Sandwich1.jpg,"['▢ 1/2 lb. deli corned beef sliced', '▢ 8 slices soft rye bread', '▢ 8 slices American cheese', '▢ 4 sunny side up fried eggs', '▢ 1/2 Cup Hollandaise sauce', '▢ 1 Cup Sauerkraut']","['Toast the bread slices in a n oven or bread toaster.', 'Spread some Hollandaise sauce over a toasted bread slice.', 'Arrange the American cheese slices on each bread slice over the sauce.', 'Start to put-in the corned beef sliced on top of the cheese and top with Sauerkraut.', 'Add one fried egg on top. You can pour more Hollandaise sauce on top of the egg.', 'Top the egg with another toasted bread slice.', 'Serve. Share and enjoy!']"
Delicious Whole Wheat Pancakes,https://panlasangpinoy.com/wp-content/uploads/2014/02/whole-wheat-pancakes-recipe.jpg,"['▢ 1 1/4 cups whole wheat flour', '▢ 1 1/4 cup buttermilk', '▢ 1 medium egg', '▢ 1 1/4 teaspoon baking powder', '▢ 1/4 teaspoon baking soda', '▢ 1 tablespoon brown sugar', '▢ 1 tablespoon clarified butter', '▢ 1/4 teaspoon salt']","['Preheat pan or griddle', 'Sift the dry ingredients together in a bowl', 'Beat egg in; add brown sugar, buttermilk, and butter', 'Pour into bowl with dry ingredients; stir but not too much', 'Scoop a quarter cup batter onto the pan. Flip when bubbles starts to show-up; cook for 15 to 20 seconds', 'Serve']"
Panlasang Pinoy Omelet,https://panlasangpinoy.com/wp-content/uploads/2014/02/Panlasang-Pinoy-Omelet.jpg,"['▢ 3 large eggs', '▢ 3 stalks scallions onion leaves, sliced', '▢ 1/2 small red bell pepper chopped', '▢ 1 small yellow onion sliced', '▢ 1 small tomato cubed', '▢ 2 tablespoons extra virgin olive oil', '▢ 1/4 cup shredded cheddar cheese', '▢ Salt to taste']","['Crack the eggs and place in a bowl. Add some salt (a pinch to 1/4 teaspoon) and beat until the texture becomes smooth. Set aside.', 'Heat the oil in a pan.', 'Saute the yellow onion and tomato.', 'Once the onion and tomato becomes soft. Add the bell pepper and scallions. Cook for 1 minute.', 'Pour-in the beaten egg. Spread the mixture over the pan. Cook in medium heat for 2 to 3 minutes or until the bottom part forms.', 'Flip the omelet to cook the other side. Note: you can put the omelet on a plate with cooked part facing down. Gently flip and slide the omelet from the plate to the pan. The cooked part should be facing up now.', 'Transfer to a serving plate. Top with shredded sharp cheddar cheese.', 'Serve. Share and enjoy!']"
