title,image,ingredients,instructions,nutrition_info,clean_ingredients
Misua with Patola and Shrimp,https://panlasangpinoy.com/wp-content/uploads/2013/02/Misua-with-Patola-and-Shrimp.jpg,"['▢ 1 medium sized patola sponge gourd, peeled and sliced', '▢ 1/2 lb. shrimp cleaned and shell removed', '▢ 2 ounces misua noodles', '▢ 1/2 cup tomato sauce', '▢ 1 small onion minced', '▢ 2 teaspoons minced garlic', '▢ 1 teaspoon equivalent of shrimp bouillon', '▢ 2 tablespoons fish sauce', '▢ 4 to 5 cups water', '▢ 3 tablespoons toasted garlic', '▢ 3 tablespoons cooking oil', '▢ Salt and pepper to taste']","['Heat the cooking oil in a deep cooking pot.', 'Saute onion and garlic.', 'Pour-in the fish sauce and tomato sauce. Sprinkle about half a teaspoon of ground black pepper.', 'Add the shrimp. Cook for 1 minute.', 'Pour-in the water. Let boil.', 'Add the misua, shrimp bouillon and patola. Cook for 3 to 6 minutes.', 'Sprinkle some salt and pepper, if needed.', 'Transfer to a serving bowl. Top with toasted garlic.', 'Serve. Share and enjoy!']",,"['equivalent shrimp bouillon', 'toasted garlic', 'water', 'onion', 'tomato sauce', 'misua noodles', 'fish sauce', 'Salt pepper', 'patola sponge gourd', 'garlic', 'cooking oil', 'shrimp shell removed']"
Pata Pochero Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/03/Pata-Pochero.jpg,"[""▢ 3 lbs. Pig's leg pata, cut in 2 ½ inches length"", '▢ 1 bunch bok choy', '▢ 3 pieces ripe saba banana sliced', '▢ 2 medium potatoes cubed', '▢ 1 cup cubed calabaza squash kalabasa', '▢ 1/2 cup tomato sauce', '▢ 6 to 8 cups water', '▢ 1 piece beef broth or 2 teaspoons beef powder', '▢ 1 teaspoon minced garlic', '▢ 1 small onion minced', '▢ 3 tablespoons cooking oil', '▢ 2 tablespoons fish sauce', '▢ Ground black pepper to taste']","['Heat the cooking oil in a cooking pot.', 'Saute the garlic and onion.', 'Add the pata and cook for 3 to 5 minutes or until all sides are light to medium brown.', 'Pour-in the fish sauce, tomato sauce, and water. Add the beef cube (or powder). Let boil.', 'Cover and then simmer for 50 to 70 minutes.', 'Add the potato, banana, and calabaza squash. Cook for 5 to 7 minutes.', 'Put-in the bok choy (or pechay) and then sprinkle some ground black pepper. Cover.', 'Turn the heat off. Let the cover stay for 5 minutes until the residual heat cooks the bok choy.', 'Transfer to a serving bowl. Serve.', 'Share and enjoy!']",,"[""Pig's leg pata in inches length"", 'water', 'onion', 'tomato sauce', 'fish sauce', 'Ground black pepper', 'bok choy', 'saba banana', 'calabaza squash kalabasa', 'garlic', 'potatoes', 'cooking oil', 'beef broth or beef powder']"
Basil Chicken Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/02/Basil-Chicken.jpg,"['▢ 1 lb. ground chicken breast', '▢ 12 to 15 pieces fresh basil leaves or holy basil', '▢ 1 1/2 tablespoons brown sugar', '▢ 2 tablespoons fish sauce', '▢ 2 teaspoons minced garlic', '▢ 1 teaspoon chili flakes', '▢ 3 tablespoons cooking oil', '▢ Ground black pepper to taste']","['Heat the cooking oil in a pan.', 'Saute the garlic and then add the chili flakes', 'Put-in the ground chicken. Cook for 3 minutes.', 'Pour-in the fish sauce and then add the brown sugar. Cook I medium heat for 5 to 10 minutes or until the liquid evaporates.', 'Add the basil and ground black pepper. Stir and cook for 1 to 2 minutes.', 'Transfer to a serving plate. Serve.', 'Share and enjoy!']",,"['chili flakes', 'brown sugar', 'basil leaves or holy basil', 'fish sauce', 'Ground black pepper', 'garlic', 'ground chicken breast', 'cooking oil']"
Chicken with Broccoli Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/02/Chicken-with-Broccoli.jpg,"['▢ 1 lb chicken breast sliced into thin pieces', '▢ 1 small head broccoli chopped into florets', '▢ 1 medium yellow onion sliced', '▢ 1 tablespoon minced ginger', '▢ 1 teaspoon garlic powder', '▢ 3/4 cup cornstarch', '▢ 1 egg beaten', '▢ 2 1/2 tablespoons oyster sauce', '▢ 1 teaspoon soy sauce', '▢ 2 teaspoons cornstarch diluted in 1/2 cup water', '▢ 3/4 cup cooking oil', '▢ salt and pepper to taste']","['Sprinkle salt and pepper on the sliced chicken. Let it stand for 10 minutes.', 'Heat the cooking oil in a pan.', 'Dip the chicken slices in beaten egg and then dredge in cornstarch.', 'Fry the coated chicken for about 2 minutes per side or until the color turns light to medium brown. Remove from the pan and place in a plate lined with paper towel.', 'Clean the pan and save about 2 tablespoons of cooking oil.', 'Heat the clean pan with the remaining cooking oil.', 'Add the onion and ginger. Cook for a minute.', 'Put-in the fried chicken slices. Stir.', 'Put-in the oyster sauce, soy sauce, garlic powder, and water (with cornstarch). Stir and continue cooking for 3 minutes in medium heat.', 'Add the broccoli florets. Cook for 2 to 3 minutes more.', 'Sprinkle salt and pepper to taste.', 'Transfer to a serving plate. Serve.', 'Share and enjoy!']",,"['garlic powder', 'oyster sauce', 'ginger', 'head broccoli florets', 'egg', 'yellow onion', 'cooking oil', 'salt pepper', 'cornstarch diluted in water', 'chicken breast', 'soy sauce', 'cornstarch']"
Adobong Tahong Recipe (Mussels Adobo),https://panlasangpinoy.com/wp-content/uploads/2013/03/Filipino-tahong-recipe-750x750.jpg,"['▢ 1 lb. Mussels cleaned and shell removed', '▢ 3 cloves garlic crushed', '▢ 3 tablespoons soy sauce', '▢ 2 tablespoons white vinegar', '▢ 4 pieces dried bay leaves', '▢ 1/2 tablespoon whole peppercorn', '▢ 2 tablespoons toasted garlic', '▢ 2 tablespoons cooking oil', '▢ Salt to taste']","['Heat the cooking oil in a cooking pot.2 tablespoons cooking oil', 'Put-in the crushed garlic and whole peppercorn. Cook until the garlic turns light brown.3 cloves garlic, 1/2 tablespoon whole peppercorn', 'Add the mussels. Stir and cook for 2 minutes.1 lb. Mussels', 'Put-in the bay leaves, add the soy sauce, and 1 tablespoon of toasted garlic. Let it boil. Simmer for 5 to 7 minutes.3 tablespoons soy sauce, 4 pieces dried bay leaves, 2 tablespoons toasted garlic', 'Pour-in the vinegar. Let the liquid reboil. Stir and then cook for 3 minutes.2 tablespoons white vinegar', 'Add salt to taste. Transfer to a serving plate.Salt to taste', 'Top with the remaining toasted garlic. Serve.', 'Share and enjoy!']",,"['toasted garlic', 'Mussels shell removed', 'whole peppercorn', 'soy sauce', 'garlic', 'cooking oil', 'white vinegar', 'bay leaves', 'Salt']"
Ginataang Galunggong Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/03/Ginataang-Galunggong1.jpg,"['▢ 4 pieces medium round scad galunggong, cleaned and salted', '▢ 4 pieces Serrano peppers', '▢ 3 cups coconut milk', '▢ 1 knob ginger sliced into strips', '▢ 1 tablespoon fish sauce', '▢ 1/2 teaspoon ground black pepper', '▢ 1 small red onion sliced', '▢ 2 cloves crushed garlic']","['Pour the coconut milk in a wide cooking pot. Let it boil.', 'Add the garlic, ginger, onion, fish sauce, and ground black pepper. Stir. Cover and cook for 5 minutes.', 'Arrange the fish in the cooking pot along with the Serrano pepper. Cover and then continue cooking in medium heat for 30 minutes.', 'Remove the cover. Let the sauce reduce to about 1/2 to 3/4 cups.', 'Transfer to a serving plate. Serve with warm rice.', 'Share and enjoy!']",,"['Serrano peppers', 'knob ginger', 'fish sauce', 'ground black pepper', 'round scad galunggong salted', 'garlic', 'red onion', 'coconut milk']"
Pata Kare-kare Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/03/pata-kare-kare-recipe-750x750.jpg,"['▢ 3 lbs. pork leg sliced into serving pieces', '▢ 5 cloves garlic crushed and chopped', '▢ 1 yellow onion chopped', '▢ 2 Chinese eggplants sliced', '▢ 1 bunch baby bok choy', '▢ 20 oz. banana blossoms', '▢ 15 string beans cut into 2-inch pieces', '▢ ½ cup peanut butter', '▢ 2 teaspoons beef powder', '▢ 1 ½ teaspoons annatto powder', '▢ 1 ½ teaspoon turmeric powder', '▢ 4 quarts water', '▢ 1 tablespoon cornstarch', '▢ 8 grams Maggi Magic Sarap', '▢ 3 tablespoon cooking oil']","['Boil the pata in 1 quart of water for 10 minutes. Let it cool down. Discard the water and wash the pata thoroughly. Set it aside.3 lbs. pork leg, 4 quarts water', 'Heat cooking oil in a wok. Sauté the garlic and onion until the onion softens.5 cloves garlic, 3 tablespoon cooking oil, 1 yellow onion', 'Add the boiled pata. Sauté for 30 seconds, then pour in the remaining water. Cover and let it boil.', 'Add the beef powder, annatto powder, and turmeric powder. Stir well. Cover and simmer until the pork pata is completely tender. Note: Add water as needed.2 teaspoons beef powder, 1 ½ teaspoons annatto powder, 1 ½ teaspoon turmeric powder', 'Stir in the peanut butter.½ cup peanut butter', 'Season with Maggi Magic Sarap and thicken the sauce by adding the slurry. Note: Make the slurry by combining 1 tablespoon of cornstarch with 3 tablespoons of water.8 grams Maggi Magic Sarap, 1 tablespoon cornstarch', 'Add the eggplant, string beans, and banana blossoms. Cook for 5 minutes.2 Chinese eggplants, 15 string beans, 20 oz. banana blossoms', 'Add the baby bok choy and cook for an additional 2 minutes.1 bunch baby bok choy', 'Transfer to a serving bowl. Serve with bagoong alamang (shrimp paste).', 'Share and enjoy!']",,"['peanut butter', 'quarts water', 'string beans inch', 'annatto powder', 'pork leg', 'yellow onion', 'baby bok choy', 'garlic', 'cooking oil', 'beef powder', 'Chinese eggplants', 'turmeric powder', 'Maggi Magic Sarap', 'cornstarch', 'banana blossoms']"
Teriyaki Bistek Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/02/Teriyaki-Bistek-Recipe02042439.jpg,"['▢ 2 lbs. skirt steak sliced', '▢ 1 piece lemon', '▢ 3/4 cup low sodium soy sauce', '▢ 2 tablespoons granulated white sugar', '▢ 1 medium white onion sliced crosswise', '▢ 1 cup water', '▢ 1 tablespoon cornstarch diluted in 2 tablespoons cold water', '▢ 2 teaspoons sesame oil', '▢ 1 tablespoon sesame seeds', '▢ 1/4 cup cooking oil', '▢ Salt and pepper to taste']","['Combine soy sauce, sugar and juice from 1 lemon. Mix well.', 'Marinate the skirt steak in the soy sauce mixture for 30 minutes.', 'Segregate the beef with the marinade.', 'Heat the cooking oil and then sear the marinated beef for 3 minutes.', 'Pour-in the remaining marinade, water, and sesame oil. Stir and then let boil. Simmer for 30 minutes Add water as necessary.', 'Let the liquid reduce to half. Pour-in cornstarch diluted in water. Stir until the sauce thickens.', 'Add salt and pepper.', 'Add the onion. Cover and cook for 2 minutes.', 'Transfer to a serving plate. Sprinkle sesame seeds on top.', 'Serve. Share and enjoy!']",,"['water', 'cornstarch diluted in cold water', 'Salt pepper', 'low sodium soy sauce', 'lemon', 'granulated white sugar', 'sesame oil', 'cooking oil', 'sesame seeds', 'white onion', 'skirt steak']"
Squid Sisig Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/02/Squid-Sisig.jpg,"['▢ 2 large squids cleaned and ink sacks removed', '▢ 2 medium yellow onion minced', '▢ 2 teaspoons minced ginger', '▢ 2 tablespoons cooking oil', '▢ 1 tablespoons soy sauce', '▢ 2 tablespoon garlic powder', '▢ 2 teaspoons salt']","['Rub 1 teaspoon salt on the squid. Let it stand for 5 minutes.', 'Grill the squid for 3 to 4 minutes per side. Remove from the grill. Let cool.', 'Chop the squid into small pieces.', 'Heat the oil in a pan and then saute the garlic, onion, and ginger.', 'Put-in the chopped squid. Stir and then cook for a minute.', 'Add the garlic powder, salt, and soy sauce. Stir and cook for 2 to 3 minutes.', 'Transfer to a serving plate. Garnish with crushed chicharon and chopped scallions.', 'Serve with lemon wedges. Share and enjoy!']",,"['garlic powder', 'ginger', 'squids ink sacks removed', 'yellow onion', 'cooking oil', 'salt', 'soy sauce']"
Ginataang Tahong Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/02/Ginataang-Tahong.jpg,"['▢ 1 lb. mussels cleaned', '▢ 2 cups coconut milk', '▢ 2 cups chopped spinach', '▢ 2 tablespoons fish sauce', '▢ 5 cloves garlic crushed', '▢ 1 medium onion minced', '▢ 3 tablespoons ginger cut in thin strips', '▢ 1/2 teaspoon ground black pepper', '▢ 2 pieces birds eye chili optional', '▢ 3 tablespoons cooking oil']","['Heat the cooking oil in a cooking pot.', 'Sauté the garlic, onion, and ginger', 'Add the fish sauce, ground black pepper, and chili. Stir.', 'Pour-in the coconut milk. Let boil.', 'Let the coconut milk reduce to half and then add the spinach. Cook for 1 minute.', 'Put-in the mussels. Stir and then cook for 3 to 5 minutes.', 'Serve with steamed rice. Share and enjoy!']",,"['onion', 'ginger in', 'birds eye chili', 'fish sauce', 'ground black pepper', 'mussels', 'garlic', 'cooking oil', 'spinach', 'coconut milk']"
Fish Kardilyo Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/02/Fish-Kardilyo.jpg,"['▢ 4 Pieces tilapia fillet', '▢ 1/4 cup AP flour', '▢ 3/4 cup corn meal', '▢ 2 eggs beaten (1 for dip, 1 for sauce)', '▢ 2 medium tomato diced', '▢ 1 medium yellow onion diced', '▢ 3 cloves garlic crushed', '▢ 3 tablespoons chopped scallions', '▢ 1 to 1 1/2 tablespoon fish sauce', '▢ 1 1/2 teaspoon salt', '▢ 1/2 teaspoon ground black pepper', '▢ 3/4 cups water', '▢ 1 cup cooking oil']","['Run salt and pepper on the tilapia fillet. Let it stand for 10 minutes', 'Heat the oil in a frying pan.', 'Dredge the tilapia in flour and then dip in the beaten egg. Roll the tilapia on the corn meal. Make sure that the fish is properly coated.', 'Fry each side until the color turns light to golden brown. Set aside.', 'Meanwhile, make the sauce by sauteing garlic, onion, and tomato.', 'Once the tomato and onion are soft, add the fish sauce and sprinkle some pepper.', 'Add water and then let boil. Simmer for 3 to 5 minutes.', 'Pour-in remaining beaten egg and then stir for 5 seconds.', 'Arrange the fried fish on a serving plate and then top with the sauce. You can also serve the sauce separately.', 'Serve. Share and enjoy!']",,"['water', 'scallions', 'tomato', 'eggs', 'corn meal', 'fish sauce', 'yellow onion', 'ground black pepper', 'garlic', 'cooking oil', 'tilapia fillet', 'salt', 'AP flour']"
Breaded Shrimp with Sweet and Sour Sauce,https://panlasangpinoy.com/wp-content/uploads/2013/02/Breaded-Shrimp-wih-Sweet-and-Sour-Sauce.jpg,"['▢ 2 lbs medium shrimp peeled', '▢ 2 eggs beaten', '▢ 3/4 cups bread crumbs', '▢ 1/2 cup AP flour', '▢ 1 1/2 teaspoon salt', '▢ 1/2 teaspoon ground black pepper', '▢ 2 cups vegetable oil', '▢ 3/4 cup sweet and sour sauce']","['Sprinkle salt and pepper on the shrimp. Let it stand for 15 minutes.', 'Heat the oil in a deep pan.', 'Dredge the shrimp in flour and then dip in the beaten eggs. Quickly roll the shrimp over the breadcrumbs. Make sure that the shrimp are properly coated.', 'Deep fry for 3 to 4 minutes or until the color turns golden brown.', 'Arrange in a plate lined with paper towels. This will absorb the oil.', 'Transfer to a serving plate. Serve with Sweet and Sour Sauce.', 'Share and enjoy!']",,"['bread crumbs', 'vegetable oil', 'eggs', 'ground black pepper', 'shrimp', 'salt', 'AP flour', 'sweet sour sauce']"
Baked Pork Tenderloin with Peaches,https://panlasangpinoy.com/wp-content/uploads/2013/02/Baked-Pork-Tenderloin-with-Peaches.jpg,"['▢ 3 lbs pork tenderloin whole', '▢ 2 teaspoons salt', '▢ 1/2 teaspoon ground black pepper', '▢ 2 teaspoon dried thyme', '▢ 2 teaspoon dried oregano', '▢ 3 tablespoons olive oil', '▢ 1 can 14 oz. sliced peaches, drained', '▢ 1 teaspoon cinnamon powder', '▢ A dash of nutmeg', '▢ 2 tablespoons brown sugar', '▢ 3/4 cup dry white wine']","['Preheat oven to 520 degrees Fahrenheit', 'Combine salt, pepper, thyme, and oregano. Mix well.', 'Rub the mixture on the pork tenderloin.', 'Heat olive oil in a pan and then pan-fry the pork tenderloin for about 5 minutes or until all the sides are brown.', 'Arrange the pan-fried pork tenderloin in an oven rack. Bake for 18 minutes. Note: Let the tenderloin cook using the oven’s residual heat. Do not open the oven door until after 1 hour of turning the oven off.', 'Meanwhile, make the delicious peaches by placing the white wine in a sauce pan. Let it boil.', 'Add-in the peaches. Cook for 1 minute.', 'Put-in the cinnamon powder, nutmeg, and brown sugar. Stir and then cook some more until the liquid evaporates.', 'After one hour of having the tenderloin in the oven. Arrange the sliced pork and peaches in a serving plate.', 'Serve. Share and enjoy!']",,"['pork tenderloin whole', 'olive oil', 'brown sugar', 'thyme', 'oregano', 'dry white wine', 'ground black pepper', 'cinnamon powder', 'nutmeg', 'salt', '. peaches']"
Parmesan Crusted Fish Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/02/Parmesan-Crusted-Fish.jpg,"['▢ 2 pieces 2 ounces fish fillet', '▢ 1/4 cup grated Parmesan Cheese', '▢ 1/2 teaspoon paprika', '▢ 1 teaspoon dried parsley flakes', '▢ 1/2 teaspoon ground black pepper', '▢ 2 tablespoons olive oil']","['Pre-heat the oven to 350 degrees Fahrenheit.', 'Combine the Parmesan cheese, paprika, parsley flakes, and ground black pepper. Mix well.', 'Rub the olive oil on the fish fillets.', 'Coat the fish with the Parmesan Cheese mixture. Let stand for 10 minutes.', 'Arrange the fish in a baking tray and then bake for 12 to 15 minutes.', 'Transfer to a serving plate.', 'Serve. Share and enjoy!']",,"['olive oil', 'fish fillet', 'ground black pepper', 'paprika', 'parsley flakes', 'Parmesan Cheese']"
Filipino BBQ Pork Chop Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/01/Filipino-BBQ-Pork-Chop.jpg,"['▢ 3 lbs pork chop', '▢ 3/4 cup soy sauce', '▢ 3 tablespoons lemon juice', '▢ 2 tablespoons Worcestershire sauce optional', '▢ 1 tablespoon garlic powder', '▢ 1/4 cup banana ketchup', '▢ 2 teaspoons granulated white sugar', '▢ 1 teaspoon salt', '▢ 1 teaspoon ground black pepper', '▢ 2 tablespoons cooking oil']","['Make the marinade by combining the soy sauce, Worcestershire sauce, ketchup, lemon juice, salt, sugar, garlic powder, and pepper in a bowl. Mix until the sugar is diluted.', 'Place the pork chop in a large reseal able bag. Pour-in the marinade mixture in the bag. Let the air out and then seal.', 'Marinate the pork chop overnight or for at least 3 hours. Make sure to place the bag in the fridge while doing this.', 'Make the basting sauce by transferring the remaining marinade in a bowl and then add the cooking oil and about 3 tablespoons of banana ketchup.', 'Grill each side of the pork chop for 10 to 12 minutes in low to medium heat while basting both sides.', 'Arrange the BBQ Pork chop over warm white rice, in a plate covered with fresh banana leaf.', 'Serve with salted eggs, chopped tomato, and onion. Share and enjoy!']",,"['garlic powder', 'lemon juice', 'pork chop', 'banana ketchup', 'ground black pepper', 'granulated white sugar', 'Worcestershire sauce', 'cooking oil', 'salt', 'soy sauce']"
Creamy Chicken with Mushroom Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/01/Creamy-Chicken-with-Mushrooms.jpg,"['▢ 1 1/2 lbs. boneless chicken breast sliced', '▢ 1 cup sliced white mushroom', '▢ 2 tablespoons butter', '▢ 1 tablespoon olive oil', '▢ 1 can condense cream of mushroom', '▢ 1/2 cup heavy whipping cream', '▢ 1 cup chicken broth', '▢ 2 teaspoon fresh rosemary chopped', '▢ 1/2 cup sour cream', '▢ 1/2 cup shredded cheddar cheese', '▢ Salt and pepper to taste']","['Melt butter in a pan and then add the olive oil.', 'Pan-fry the chicken until the color turns light brown.', 'Put-in the rosemary. Cook for 1 minute.', 'Add the cream of mushroom and chicken broth. Stir and let boil.', 'Simmer for 20 minutes or until the liquid reduces.', 'Put-in the mushroom and heavy whipping cream. Continue cooking for 3 to 5 minutes,', 'Add salt and pepper to taste.', 'Transfer to a serving plate. Top with sour cream and cheese.', 'Serve with mashed potato. Share and enjoy!']",,"['condense cream mushroom', 'boneless chicken breast', 'olive oil', 'cheddar cheese', 'heavy whipping cream', 'sour cream', 'Salt pepper', 'white mushroom', 'butter', 'chicken broth', 'rosemary']"
Sinaing na Tulingan Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/02/Sinaing-na-Tulingan-1-750x750.jpg,"['▢ 4 pieces tulingan bullet tuna', '▢ 8 to 10 pieces dried or fresh bilimbi kamias', '▢ 4 to 6 cups water', '▢ 4 to 5 tablespoons coarse sea salt or rock salt', '▢ Banana leaves optional']","['Clean the fish by removing the innards, gills and tail. When removing the tail, twist it using your hand and gently pull the tail out. You will know that you did it correctly if some meat is attached to the tail.4 pieces tulingan', 'Wash the fish in running water to get rid of all the blood.', 'Make about 4 slant incisions on one side of the fish and 1 long straight horizontal incision on the top part of the other side.', 'Soak the fish in water for 10 minutes and clean the blood that comes out.', 'Salt the fish by rubbing rock or sea salt. Make sure that you apply the salt even to the internal part. Press the fish so that it will be flat. Let it stand for 10 to 15 minutes.4 to 5 tablespoons coarse sea salt or rock salt', 'Arrange the bilimbi (kamias) in a clay pot or a regular cooking pot.8 to 10 pieces dried or fresh bilimbi', 'Wrap pre-cut banana leaves under the head of the fish, and then arrange them over the bilimbi.Banana leaves', 'Pour-in the water. The water level should be equal to the level of the fish.4 to 6 cups water', 'Apply heat and then allow to boil. Simmer (reduce to a lower temperature) the fish for 4 to 5 hours. Add water as needed.', 'Transfer the fish in a serving plate. Transfer the remaining liquid (called patis) in a bowl.', 'Serve with warm steamed white rice. Share and enjoy!']",,"['water', 'or bilimbi kamias', 'tulingan bullet tuna', 'Banana leaves', 'coarse sea salt or rock salt']"
General Tso Chicken Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/01/General-Tsaos-Chicken.jpg,"['▢ 2 lbs. boneless chicken breast cut into large chunks', '▢ 1/2 cup chopped scallions', '▢ 1 egg beaten', '▢ 1 cup cornstarch', '▢ 2 cups cooking oil', '▢ 1 small onion minced', '▢ Sauce Ingredients:', '▢ 1 1/4 cups chicken broth', '▢ 6 tablespoons soy sauce', '▢ 3 tablespoons vinegar', '▢ 3 tablespoons cornstarch', '▢ 3 tablespoons water', '▢ 1/2 cup granulated white sugar', '▢ 1/4 cup dry sherry', '▢ 2 teaspoons garlic powder', '▢ 3 teaspoons minced ginger', '▢ Marinade Ingredients:', '▢ 3 tablespoons soy sauce', '▢ 1/2 teaspoon ground black pepper']","['Combine the marinade ingredients in a large bowl. Stir.', 'Add the chicken. Marinate for 1 hour.', 'Meanwhile, combine the sauce ingredients in a bowl. Mix well and then set aside.', 'Heat the oil in a cooking pot.', 'Dredge the marinated chicken in cornstarch and then dip into the beaten egg mixture.', 'Roll the chicken back in the cornstarch and then deep fry until the color turns light brown (about 5 to 7 minutes). Do not overcook. Set aside.', 'On a clean pan, sauté onion in 2 tablespoons cooking oil.', 'Add the sauce mixture and then stir until the mixture starts to thicken.', 'Put-in the deep fried chicken and stir until the sauce coats each piece.', 'Add the chopped scallions. Transfer to a serving plate.', 'Serve. Share and enjoy!']",,"['water', 'garlic powder', 'onion', 'scallions', 'ginger', 'Marinade Ingredients:', 'egg', 'ground black pepper', 'dry sherry', 'boneless chicken breast chunks', 'granulated white sugar', 'cooking oil', 'chicken broth', 'Sauce Ingredients:', 'vinegar', 'soy sauce', 'cornstarch']"
Fried Chicken Breast with Creamy Lemon Sauce Dip,https://panlasangpinoy.com/wp-content/uploads/2013/01/Lemon-Chicken.jpg,"['▢ 4 pieces boneless chicken breast pounded until flat', '▢ 1 cup all-purpose flour', '▢ 1 egg beaten', '▢ 1 1/2 teaspoons salt', '▢ 3/4 teaspoon ground black pepper', '▢ 2 cups cooking oil', '▢ 2 tablespoons butter', '▢ 3 tablespoons lemon juice', '▢ yolk of 1 piece egg beaten', '▢ 1 cup heavy whipping cream', '▢ salt to taste']","['Rub salt and pepper on the chicken breasts. Set aside.', 'Make the sauce by melting the butter in a sauce pan.', 'Pour-in lemon juice. Stir.', 'Pour-in the whipping cream and then add salt.', 'When the mixture is about to boil, add-in the egg yolk. Continuously stir for a minute or until the texture becomes thicker. Set aside.', 'Meanwhile, heat the cooking oil in a frying pan.', 'When the oil becomes hot, dredge the chicken breast in flour and then dip in the beaten egg mixture.', 'Dip the chicken in flour for the second time. Deep fry in medium heat for 7 to 9 minutes or until the color turns light to golden brown.', 'Arrange in a serving plate along with the creamy lemon sauce.', 'Serve. Share and enjoy!']",,"['lemon juice', 'heavy whipping cream', 'egg', 'ground black pepper', 'boneless chicken breast pounded until flat', 'cooking oil', 'butter', 'salt', 'yolk egg', 'all-purpose flour']"
Pork with Zucchini in Oyster Sauce,https://panlasangpinoy.com/wp-content/uploads/2013/02/Pork-with-Zuchini.jpg,"['▢ 1 lb. pork slice into thin pieces', '▢ 2 tablespoons oyster sauce', '▢ 1 tablespoon soy sauce', '▢ 1 medium zucchini halved lengthwise and then sliced', '▢ 1/4 cup AP flour', '▢ 1/2 cup beef broth', '▢ Salt and pepper to taste', '▢ 3 tablespoons cooking oil']","['Sprinkle some salt and pepper on the pork slices. Let stand for 10 minutes.', 'Heat the cooking oil in a pan.', 'Dredge the pork slices in flour.', 'Pan-Fry the pork for 1 minute per side.', 'Add oyster sauce, soy sauce, and beef broth. Stir and then cook covered for 5 to 10 minutes (add water as necessary).', 'Put-in the zucchini, salt, and pepper. Stir, and then cook for 5 minutes until most of the liquid evaporates.', 'Transfer to a serving plate.', 'Serve. Share and enjoy!']",,"['Salt pepper', 'zucchini then', 'pork', 'cooking oil', 'beef broth', 'AP flour', 'oyster sauce', 'soy sauce']"
Breaded Fried Salmon Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/01/Breaded-Fried-Salamon.jpg,"['▢ 2 pieces 4 oz. salmon fillet', '▢ 1 tablespoon light soy sauce', '▢ 1 teaspoon granulated white sugar', '▢ 1/2 teaspoon salt', '▢ 1/2 tablespoon Worcestershire sauce', '▢ 1/4 cup AP flour', '▢ 1/2 cup cooking oil']","['Combine soy sauce, Worcestershire sauce, sugar, salt, and pepper. Stir.', 'Rub the mixture all over the salmon. Marinate for at least 1 hour.', 'Heat the oil in a frying pan.', 'Dredge the salmon in flour and then fry each side for about 5 minutes or until golden brown.', 'Transfer to individual serving plates.', 'Serve with Ampalaya Salad and rice.', 'Share and enjoy!']",,"['light soy sauce', 'granulated white sugar', 'Worcestershire sauce', 'cooking oil', 'salt', 'AP flour', '. salmon fillet']"
Baked Spaghetti Recipe,https://panlasangpinoy.com/wp-content/uploads/2013/02/Baked-Spaghetti.jpg,"['▢ 1 lb. spaghetti noodles cooked according to package instructions', '▢ 1 lb. ground beef', '▢ 4 cups marinara sauce', '▢ 1 medium yellow onion minced', '▢ 2 teaspoons minced garlic', '▢ 2 tablespoons butter', '▢ 2 tablespoons AP flour', '▢ 1 1/4 cup fresh milk', '▢ 1/4 cup grated Parmesan cheese.', '▢ 1 cup shredded cheddar cheese', '▢ 3 tablespoons cooking oil', '▢ Salt and pepper to taste']","['Cook the spaghetti noodles according to package instructions. Set aside.', 'Heat the cooking oil in a saucepan. Sauté onion and garlic', 'Add the ground meat and then cook for 5 minutes or until the color turns light brown.', 'Pour-in the marinara sauce. Let boil and then simmer for 30 minutes while stirring every 10 minutes. Add salt and pepper.', 'Combine the cooked spaghetti noodles and meat sauce. Mix well and then arrange in a baking pan.', 'Preheat the oven to 350 degrees Fahrenheit.', 'Quickly prepare the white sauce by melting the butter in a small pan.', 'Add the flour and stir. Pour-in the milk and then stir continuously until a thick sauce is formed.', 'Put-in the Parmesan cheese. Stir and then turn the heat off.', 'Pour the white sauce over the spaghetti. Arrange the shredded cheese on top of the sauce.', 'Bake for 10 minutes.', 'Set the oven to broil and then broil for 5 minutes.', 'Remove from the oven. Serve with garlic bread.', 'Share and enjoy!']",,"['cheddar cheese', 'ground beef', 'Parmesan cheese', 'yellow onion', 'Salt pepper', 'garlic', 'AP flour', 'cooking oil', 'butter', 'spaghetti noodles cooked according package instructions', 'marinara sauce', 'milk']"
